9base 6-5
pcre 8.41-1
pcre2 10.31-1
perl 5.26.1-2
perl-algorithm-diff 1.1903-3
perl-clone 0.39-4
perl-dbi 1.641-1
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-file-listing 6.04-4
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-5
perl-http-date 6.02-4
perl-http-message 6.16-1
perl-http-negotiate 6.01-4
perl-io-html 1.001-3
perl-libwww 6.33-1
perl-lwp-mediatypes 6.02-4
perl-net-http 6.17-1
perl-net-nslookup 2.04-5
perl-regexp-common 2016010801-4
perl-try-tiny 0.30-1
perl-uri 1.73-1
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pinentry 1.1.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.113+34+g29ba7af-1
poppler 0.63.0-1
popt 1.16-9
powertop 2.9-1
procps-ng 3.3.12-3
protobuf 3.5.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-1
python 3.6.4-2
python-appdirs 1.4.3-1
python-cairo 1.16.3-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-greenlet 0.4.13-1
python-msgpack 0.5.6-1
python-neovim 0.2.4-1
python-packaging 16.8-2
python-pafy 0.5.4-1
python-pillow 5.0.0-1
python-pip 9.0.1-3
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-1
python-reportlab 3.4.0-1
python-setuptools 1:39.0.1-1
python-sip 4.19.8-1
python-six 1.11.0-1
python2 2.7.14-2
python2-cairo 1.16.3-1
python2-futures 3.2.0-1
python2-gobject2 2.28.7-1
python2-greenlet 0.4.13-1
python2-msgpack 0.5.6-1
python2-neovim 0.2.4-1
python2-six 1.11.0-1
python2-trollius 2.1-2
qpdf 8.0.2-1
qt5-3d 5.10.1-1
qt5-base 5.10.1-7
qt5-canvas3d 5.10.1-1
qt5-charts 5.10.1-1
qt5-connectivity 5.10.1-1
qt5-datavis3d 5.10.1-1
qt5-declarative 5.10.1-3
qt5-doc 5.10.1-1
qt5-examples 5.10.1-1
qt5-gamepad 5.10.1-1
qt5-graphicaleffects 5.10.1-1
qt5-imageformats 5.10.1-1
qt5-location 5.10.1-2
qt5-multimedia 5.10.1-1
qt5-networkauth 5.10.1-1
qt5-quickcontrols 5.10.1-1
qt5-quickcontrols2 5.10.1-1
qt5-remoteobjects 5.10.1-1
qt5-script 5.10.1-1
qt5-scxml 5.10.1-1
qt5-sensors 5.10.1-1
qt5-serialbus 5.10.1-1
qt5-serialport 5.10.1-1
qt5-speech 5.10.1-1
qt5-svg 5.10.1-1
qt5-tools 5.10.1-1
qt5-translations 5.10.1-1
qt5-virtualkeyboard 5.10.1-1
qt5-wayland 5.10.1-3
